source	isbn	name	author	label
www.textbooksrus.com	9780072922363	Fundamentals of Finite Element Analysis	david v. hutton|david hutton	False
S M Inc	9780072922363	Fundamentals of Finite Element Analysis (1st/2004)	not available	False
Alinonline	9780072922363	Fundamentals of Finite Element Analysis	hutton, david w.	False
LGTextbooks.com	9780072922363	Fundamentals of Finite Element Analysis	hutton	False
textbooksNow	9780072922363	Fund of Finite Element Analysis	hutton	False
avidbookseller	9780072922363	Fundamentals of Finite Element Analysis	hutton, david w.	False
CollegeTextbookBin.com	9780072922363	FUND OF FINITE ELEMENT ANALYSIS	hutton	False
Indoo.com	9780072922363	Fundamentals of Finite Element Analysis	hutton	False
A1Books	9780072922363	Fundamentals of Finite Element Analysis	david v. hutton	True
textbookxdotcom	9780072922363	Fundamentals of Finite Element Analysis	hutton, david w.	False
Paperbackshop-US	9780072922363	Fundamentals of Finite Element Analysis	david v. hutton	True
Caiman	9780072922363	FUNDAMENTALS OF FINITE ELEMENT	david v. hutton	True
Books2Anywhere.com	9780072922363	Fundamentals of Finite Element Analysis	david v. hutton	True
Papamedia.com	9780072922363	Fundamentals of Finite Element Analysis	david v. hutton	True
Revaluation Books	9780072922363	Fundamentals of Finite Element Analysis	david v. hutton	True
Pro Quo Books	9780072843996	I-Series: MS Windows XP: Complete	barrie sosinsky unknown, stephen haag, james t perry, efren estevez,	True
Leaf-E-Lady Books	9780072843996	I-Series: MS Windows XP: Complete [Paperback] by Haag, Stephen ; Perry, James	barrie sosinsky unknown, stephen haag, james t perry, efren estevez,	True
textbooksNow	9780072843996	Microsoft Windows XP: Complete	haag	False
Indoo.com	9780072843996	The I-Series MS Windows XP Complete	haag	False
A1Books	9780072843996	I-Series: MS Windows XP: Complete	stephen haag	False
textbookxdotcom	9780072843996	Microsoft Windows Xp Complete	stephen haag	False
Browns Books	9780072843996	Microsoft Windows XP Complete	stephen haag	False
Caiman	9780072843996	MICROSOFT WINDOWS XP COMPLETE	estevez, efren	False
Mellon's Books	9780072843996	MICROSOFT WINDOWS XP COMPLETE	stephen haag	False
Quartermelon	9780072843996	MICROSOFT WINDOWS XP COMPLETE	barrie sosinsky unknown, stephen haag, james t perry, efren estevez,	True
Blackwell Online	9780072843996	Microsoft Windows XP Complete	haag, stephen perry, james t. sosinsky, barrie	False
TheBookCom	9780072843996	Microsoft Windows Xp Complete	stephen haag	False
Papamedia.com	9780072843996	I-Series: MS Windows XP: Complete	stephen haag	False
FREE U.S. AIR SHIPPING @ thebookcompany	9780072843996	Microsoft Windows Xp Complete	stephen haag	False
Stratford Books	9780072843996	MICROSOFT WINDOWS XP COMPLETE	barrie sosinsky unknown, stephen haag, james t perry, efren estevez,	True
THESAINTBOOKSTORE	9780072843996	I-Series: MS Windows XP: Complete	barrie sosinsky unknown, stephen haag, james t perry, efren estevez,	True
Bobs Books	9780072843996	MICROSOFT WINDOWS XP COMPLETE	barrie sosinsky unknown, stephen haag, james t perry, efren estevez,	True
Revaluation Books	9780072843996	Microsoft Windows Xp Complete	barrie sosinsky unknown, stephen haag, james t perry, efren estevez,	True
Cobain LLC	9780072466850	Introduction to the Finite Element Method	j. n. reddy	True
Reliable Book Service	9780072466850	Introduction To The Finite Element Method	j. n. reddy	True
Economy Books	9780072466850	Introduction To The Finite Element Method	j. n. reddy	True
Technischer Overseas Pvt. Ltd.	9780072466850	Communication Theory: Communication Engineering Series. ed. 1	thomas &amp; chandrasekhar	False
softcoverdeal	9780072466850	An Introduction to the Finite Element Method (Mcgraw Hill Series in Mechanical Engineering)	j. n. reddy	True
isedeals	9780072466850	Introduction to the Finite Element Method	j. n. reddy	True
pat marketing	9780072466850	An Introduction to the Finite Element Method	none	False
GREAT_TEXTS	9780072466850	Introduction To The Finite Element Method	j. n. reddy	True
S M Inc	9780072466850	An Introduction to the Finite Element Method (3/2005)	not available	False
www.textbooksrus.com	9780072466850	An Introduction to the Finite Element Method (Mcgraw Hill Series in Mechanical Engineering)	j. n. reddy	True
D & A Worldwide Textbook Service	9780072466850	Introduction To The Finite Element Method	j. n. reddy	True
Sunmark Store	9780072466850	AN INTRODUCTION TO THE FINITE ELEMENT METHOD	j. n. reddy	True
brandnewtextbooks	9780072466850	Introduction To The Finite Element Method	j. n. reddy	True
Missionbooks	9780072466850	Introduction to the Finite Element Method, An	reddy	False
textbook18	9780072466850	An Introduction to Finite Element Method	j. n. reddy	True
California Textbooks	9780072466850	Introduction To The Finite Element Method	j. n. reddy	True
boox2relyon	9780072466850	REDDY: An Introduction to the Finite Element Method, 3e	reddy	False
Alinonline	9780072466850	Introduction To The Finite Element Method	j. n. reddy	True
textbooksNow	9780072466850	Intro to Finite Element Method	reddy	False
Indoo.com	9780072466850	An Introduction to the Finite Element Method	reddy	False
Missionbooks	9780072466850	Introduction To The Finite Element Method	j. n. reddy	True
A1Books	9780072466850	An Introduction to the Finite Element Method (Mcgraw Hill Series in Mechanical Engineering)	j. n. reddy	True
textbookxdotcom	9780072466850	Introduction To The Finite Element Method	j. n. reddy	True
Caiman	9780072466850	Introduction To The Finite Element Method	j. n. reddy	True
Books2Anywhere.com	9780072466850	Introduction To The Finite Element Method	j. n. reddy	True
Papamedia.com	9780072466850	An Introduction to the Finite Element Method (Mcgraw Hill Series in Mechanical Engineering)	j. n. reddy	True
Revaluation Books	9780072466850	Introduction To The Finite Element Method	j. n. reddy	True
brandnewtextbooks	9780072255096	Principles Of Computer Security: Security+ And Beyond	conklin, art; davis, roger; williams, dwayne; cothren, chuck	False
Alinonline	9780072255096	Principles Of Computer Security: Security+ And Beyond	conklin, art; davis, roger; williams, dwayne; cothren, chuck	False
LGTextbooks.com	9780072255096	Principles of Computer Security: Security + and Beyond (with CD-ROM)	conklin	False
textbooksNow	9780072255096	Prin of Computer Security (w/CD)	conklin	False
Mellon's Books	9780072255096	PRINCIPLES OF COMPUTER SECURITY	conklin, wm. arthur	False
Caiman	9780072255096	PRINCIPLES OF COMPUTER SECURIT	conklin, wm. arthur	False
Books R us	9780072255096	Principles of Computer Security: Security and Beyond	wm. arthur conklin, gregory b. white, chuck cothren, dwayne williams, roger l. davis, art conklin, gregory white, roger davis	True
Blackwell Online	9780072255096	Principles of Computer Security: Security+ and Beyond with CDROM	conklin, wm arthur white, gregory b. cothren, chuck	False
TheBookCom	9780072255096	Principles Of Computer Security : Security And Beyond	conklin, wm. arthur	False
Sandy Chong	9780072255096	Principles Of Computer Security: Security+ And Beyond	conklin, art; davis, roger; williams, dwayne; cothren, chuck	False
Indoo.com	9780072255096	Principles of Computer Security: Security+ and Beyond	conklin/white	False
FREE U.S. AIR SHIPPING @ thebookcompany	9780072255096	Principles Of Computer Security : Security And Beyond	conklin, wm. arthur	False
A1Books	9780072255096	Principles of Computer Security: Security and Beyond	conklin, art; davis, roger; williams, dwayne; cothren, chuck	False
textbookxdotcom	9780072255096	Principles Of Computer Security Security+ And Beyond	roger davis	False
THESAINTBOOKSTORE	9780072255096	Principles of Computer Security: Security and Beyond	wm. arthur conklin, gregory b. white, chuck cothren, dwayne williams, roger l. davis, art conklin, gregory white, roger davis	True
Bobs Books	9780072255096	Principles of Computer Security: Security+ and Beyond	conklin, wm. arthur; white, gregory; cothren, chuck; williams, d	False
DVD Legacy	9780072255096	Principles Of Computer Security: Security+ And Beyond	conklin, art; davis, roger; williams, dwayne; cothren, chuck	False
Books Down Under	9780072255096	Principles of Computer Security: Security+ and Beyond	conklin, wm. arthur; white, gregory; cothren, chuck; williams, d	False
Paperbackshop-US	9780072255096	Principles of Computer Security: Security and Beyo	roger davis	False
Papamedia.com	9780072255096	Principles of Computer Security: Security and Beyond	wm. arthur conklin, et al	False
Quartermelon	9780072255096	Principles of Computer Security: Security+ and Beyond with CDROM	conklin, wm arthur white, gregory b. cothren, chuck	False
Stratford Books	9780072255096	Principles of Computer Security: Security+ and Beyond with CDROM	conklin, wm arthur white, gregory b. cothren, chuck	False
Englishbookservice.com GTI GmbH	9780072255096	Principles of Computer Security: Security and Beyond	conklin, wm. arthur; white, gregory b.; etc.	False
Revaluation Books	9780072255096	Principles Of Computer Security Security+ And Beyond	conklin, art; davis, roger; williams, dwayne; cothren, chuck	False
A1Books	9780072232172	MCSE Windows Server 2003 Active Directory Infrastructure Study Guide (Exam 70-294) with Windows? Server 2003 180-day trial software	dennis suhanovs, press certification, certification press	False
Indoo.com	9780072232172	MCSE Windows Server 2003 Active Directory Infrastructure Study Guide (Exam 70-294) with Windows&reg; Server 2003 180-day trial software	suhanovs	False
totalqualitybooks	9780072230611	Windows Server 2003 (Hacking Exposed)	joel scambray; stuart mcclure	True
The Big Book Sale	9780072230611	Hacking Exposed Windows Server 2003 (Hacking Exposed)	scambray, joel	False
Archives Books, Inc.	9780072230611	Windows Server 2003 (Hacking Exposed)	joel scambray; stuart mcclure	True
Price Cut Books Ltd	9780072230611	Hacking Exposed Windows Server 2003 (Hacking Exposed)	scambray	False
Technischer Overseas Pvt. Ltd.	9780072230611	Hacking Exposed Windows Server 2003 1/e	scambray	False
MildredsBooks	9780072230611	Windows Server 2003 (Hacking Exposed)	joel scambray; stuart mcclure	True
Indoo.com	9780072230611	Hacking Exposed Windows Server 2003	scambray/ mcclure	False
Caiman	9780072230611	HACKING EXPOSED WINDOWS SERVER	scambray, joel	False
A1Books	9780072230611	Windows Server 2003 (Hacking Exposed)	joel scambray; stuart mcclure	True
textbookxdotcom	9780072230611	Hacking Exposed Windows Server 2003	scambray, joel	False
Henry's Biz Books	9780072230611	Windows Server 2003 (Hacking Exposed)	joel scambray; stuart mcclure	True
Browns Books	9780072230611	Hacking Exposed Windows Server 2003	scambray, joel	False
Kayleighbug Books	9780072230611	Windows Server 2003 (Hacking Exposed)	joel scambray; stuart mcclure	True
Kayleighbug	9780072230611	Windows Server 2003 (Hacking Exposed)	joel scambray; stuart mcclure	True
Quartermelon	9780072230611	HACKING EXPOSED WINDOWS SERVER 2003	joel scambray; stuart mcclure	True
Papamedia.com	9780072230611	Windows Server 2003 (Hacking Exposed)	joel scambray; stuart mcclure	True
Blackwell Online	9780072230611	Hacking Exposed Windows Server 2003	joel scambray; stuart mcclure	True
Odeon Books	9780072230611	Windows Server 2003 (Hacking Exposed)	joel scambray; stuart mcclure	True
SWOOP	9780072230611	HACKING EXPOSED WINDOWS SERVER 2003	scambray, joel	False
TheBookCom	9780072230611	Hacking Exposed Windows Server 2003	scambray, joel	False
Mellon's Books	9780072230611	HACKING EXPOSED WINDOWS SERVER 2003	scambray, joel	False
Stratford Books	9780072230611	HACKING EXPOSED WINDOWS SERVER 2003	joel scambray; stuart mcclure	True
Marando.de Versandbuchhandlung	9780072230611	Hacking Exposed Windows Server 2003	joel scambray; stuart mcclure	True
COBU GmbH & Co. KG	9780072230611	Hacking Exposed Windows Server 2003	joel scambray; stuart mcclure	True
AHA-BUCH	9780072230611	Hacking Exposed Windows Server 2003	joel scambray; stuart mcclure	True
paperbackworld.de	9780072230611	Hacking Exposed Windows Server 2003.	scambray, joel	False
FREE U.S. AIR SHIPPING @ thebookcompany	9780072230611	Hacking Exposed Windows Server 2003	scambray, joel	False
THESAINTBOOKSTORE	9780072230611	Windows Server 2003 (Hacking Exposed)	joel scambray; stuart mcclure	True
Versandantiquariat Robert A. Mueller	9780072230611	Hacking Exposed Windows Server 2003.	scambray, joel	False
Morgenstundt Buch & Kunst	9780072230611	Hacking Exposed Windows Server 2003	joel scambray; stuart mcclure	True
The Book Depository	9780072230611	Hacking Exposed Windows Server 2003	scambray, joel	False
Bobs Books	9780072230611	HACKING EXPOSED WINDOWS SERVER 2003	joel scambray; stuart mcclure	True
Limelight Bookshop	9780072230611	Hacking Exposed: Windows Server 2003	scambray, joel	False
Indoo.com	9780072226331	Security+ Certification All-in-One Exam Guide	white/williams/davis/cothren	False
Caiman	9780072226331	SECURITY+ CERTIFICATION	white, greg	False
A1Books	9780072226331	Security+ Certification All-in-One Exam Guide	gregory white	True
Paperbackshop-US	9780072226331	Security+ Certification All-In-One	gregory white	True
textbookxdotcom	9780072226331	Security+ Certification All-In-One Exam Guide	shon harris	False
Annex Books Inc	9780072226331	Security+ Certification All-in-One Exam Guide	gregory white	True
Browns Books	9780072226331	Security+ Certification	white, gregory b.	False
Papamedia.com	9780072226331	Security+ Certification All-in-One Exam Guide	gregory white	True
Blackwell Online	9780072226331	Security+ Certification	white, gregory b.	False
Quartermelon	9780072226331	Security+ Certification: Exam Guide with CDROM	white, greg (author) conklin, art (joint author) cothren, chuck (joint author)	False
TheBookCom	9780072226331	Security+ Certification Exam Guide	white, gregory b.	False
Quartermelon	9780072226331	SECURITY+ CERTIFICATION EXAM GUIDE	white, gregory b.	False
Mellon's Books	9780072226331	SECURITY+ CERTIFICATION	white, gregory b.	False
Marando.de Versandbuchhandlung	9780072226331	Security+ Certification, w.CD-ROM	gregory white	True
AHA-BUCH	9780072226331	Security+ Certification, w.CD-ROM	gregory white	True
Stratford Books	9780072226331	Security+ Certification: Exam Guide with CDROM	white, greg (author) conklin, art (joint author) cothren, chuck (joint author)	False
FREE U.S. AIR SHIPPING @ thebookcompany	9780072226331	Security+ Certification Exam Guide	white, gregory b.	False
Stratford Books	9780072226331	SECURITY+ CERTIFICATION EXAM GUIDE	white, gregory b.	False
paperbackworld.de	9780072226331	Security+ Certification Exam Guide.	shon harris	False
THESAINTBOOKSTORE	9780072226331	Security+ Certification All-in-One Exam Guide	gregory white	True
Morgenstundt Buch & Kunst	9780072226331	Security+ Certification	white, gregory b.	False
Versandantiquariat Robert A. Mueller	9780072226331	Security+ Certification Exam Guide.	shon harris	False
Bobs Books	9780072226331	SECURITY+ CERTIFICATION EXAM GUIDE	white, gregory b.	False
Bobs Books	9780072226331	Security+ Certification All-in-One Exam Guide	gregory white	True
Revaluation Books	9780072226331	Security+ Certification All-In-One Exam Guide	gregory white	True
Revaluation Books	9780072226331	Security+ Certification All-In-One Exam Guide	white, gregory b.	False
The Book Depository	9780072226331	Security+ Certification	shon harris	False
Books Down Under	9780072226331	Security+ Certification All-in-One Exam Guide	gregory white	True
Limelight Bookshop	9780072226331	All-in-One Security+ Certification Exam Guide	white, gregory b.	False
Wonder Book	9780071357814	Schaum's Outline of Computer Graphics	zhigang xiang roy a. plastock	True
Bunches of Books	9780071357814	Schaum's Outline of Computer Graphics	zhigang xiang roy a. plastock	True
Indoo.com	9780071357814	Schaum&#146;s Outline of Computer Graphics	xiang/plastock	False
textbookxdotcom	9780071357814	Schaum's Outline of Theory and Problems of Computer Graphics	zhigang xiang	False
A1Books	9780071357814	Schaumandapos;s Outline of Computer Graphics	zhigang xiang roy a. plastock	True
Books2Anywhere.com	9780071357814	Schaum's Outline of Theory and Problems of Compute	zhigang xiang roy a. plastock	True
Caiman	9780071357814	SCHAUMS OUTLINE OF COMPUTER GR	plastock, roy a.	False
Annex Books Inc	9780071357814	Schaum's Outline of Computer Graphics	zhigang xiang roy a. plastock	True
Paperbackshop-US	9780071357814	Schaum's Outline of Theory and Problems of Compute	zhigang xiang roy a. plastock	True
THESAINTBOOKSTORE	9780071357814	Schaum's Outline of Computer Graphics	zhigang xiang roy a. plastock	True
Technischer Overseas Pvt. Ltd.	9780071357814	COMPUTER GRAPHICS (SCHAUMS OUTLINE SERIES), 2/E	plastock	False
Quartermelon	9780071357814	Schaum's Outline of Computer Graphics	zhigang xiang roy a. plastock	True
Blackwell Online	9780071357814	Schaum's Outline of Computer Graphics	ray plastock, gordon kalley, zhiang xiang, zhingang xiang	False
Blackwell Online	9780071357814	Schaum's Outline of Computer Graphics	ray plastock, gordon kalley, zhiang xiang, zhingang xiang	False
paperbackworld.de	9780071357814	Schaum's Outline of Computer Graphics.	roy plastock	False
Morgenstundt Buch & Kunst	9780071357814	Schaum's Outline of Computer Graphics	plastock, ray; kalley, gordon	False
Versandantiquariat Robert A. Mueller	9780071357814	Schaum's Outline of Computer Graphics.	roy plastock	False
The Book Depository	9780071357814	Schaum's Outline of Computer Graphics	roy plastock	False
Stratford Books	9780071357814	Schaum's Outline of Computer Graphics	zhigang xiang roy a. plastock	True
Papamedia.com	9780071357814	Schaum's Outline of Computer Graphics	zhigang xiang roy a. plastock	True
Revaluation Books	9780071357814	Schaum's Outline of Theory and Problems of Computer Graphics	zhigang xiang roy a. plastock	True
Limelight Bookshop	9780071357814	Schaum's Outline of Computer Graphics	zhigang xiang	False
LGTextbooks.com	9780071357814	Computer Graphics (Schaum)	plastock	False
Collegebooksdirect.com	9781576761061	A+ Operating Systems For Technicians	meadors, todd; schmidt, cheryl ann	False
Indoo.com	9781576761061	A+ Operating Systems for Technicians	meadors, toddschmidt, cheryl a.	False
Back Alley Books	9781576761061	A+ Operating Systems for Technicians	meadors, todd; schmidt, cheryl ann	True
A1Books	9781576761061	A+ Operating Systems for Technicians	meadors, todd, schmidt, cheryl a.	True
textbookxdotcom	9781576761061	A+ Operating Systems For Technicians	todd meadors	False
Caiman	9781576761061	A+ OPERATING SYSTEMS FOR TECHN	schmidt, cheryl a.	False
Papamedia.com	9781576761061	A+ Operating Systems for Technicians	cheryl schmidt	False
paperbackworld.de	9781576761061	A+ Operating Systems for Technicians	meadors, todd, schmidt, cheryl a.	True
Englishbookservice.com GTI GmbH	9781576761061	Operating Systems/A Technicia	not available	False
Revaluation Books	9781576761061	A+ Operating Systems for Technicians	meadors, todd; schmidt, cheryl ann	False
Limelight Bookshop	9781576761061	A+ Operating Systems for Technicians	schmidt, cheryl a.	False
A1Books	9781558609350	Understanding Your Users : A Practical Guide to User Requirements Methods, Tools, and Techniques	catherine courage, kathy baxter	True
BookBuyers OnLine	9781558609350	Understanding Your Users: A Practical Guide to User Requirements Methods, Tools, and Techniques (The Morgan Kaufmann Series in Interactive Technologies)	catherine courage, kathy baxter	True
Caiman	9781558609350	UNDERSTANDING YOUR USERS -OS	courage, catherine	False
Browns Books	9781558609350	Understanding Your Users	baxter, kathy	False
Powell's  Books	9781558609350	Understanding Your Users a Practical Guide To	courage, catherine	False
College Book Service	9781558609350	Understanding Your Users: A Practical Guide to User Requirements, Methods, Tools and Techniques, pb, 2005	courage, catherine/ baxte	False
Book Lovers USA	9781558609350	Understanding Your Users: A Practical Guide to User Requirements Methods, Tools, and Techniques (The Morgan Kaufmann Series in Interactive Technologies)	catherine courage, kathy baxter	True
Quartermelon	9781558609350	UNDERSTANDING YOUR USERS A PRACTICAL GUIDE TO USER REQUIREMENTS METHODS TOOLS AND TECHNIQUES	catherine courage, kathy baxter	True
SARL Culture-Factory	9781558609350	Understanding Your Users	courage, catherine	False
Blackwell Online	9781558609350	Understanding Your Users	catherine courage, kathy baxter	True
LAKESIDE BOOKS	9781558609350	UNDERSTANDING YOUR USERS	baxter, kathycourage, catherine	False
AHA-BUCH	9781558609350	Understanding Users	catherine courage, kathy baxter	True
TheBookCom	9781558609350	Understanding Your Users : A Practical Guide To User Requirements Methods Tools And Techniques	baxter, kathy	False
Bobs Books	9781558609350	Understanding Your Users: A Practical Guide to User Requirements Methods, Tools, and Techniques	courage; baxter	False
The Book Depository	9781558609350	Understanding Your Users	courage, catherine	False
FREE POSTAGE ! @thebookcompany	9781558609350	Understanding Your Users : A Practical Guide To User Requirements Methods Tools And Techniques	baxter, kathy	False
Papamedia.com	9781558609350	Understanding Your Users : A Practical Guide to User Requirements Methods, Tools, and Techniques (The Morgan Kaufmann Series in Interactive Technologi	catherine courage, kathy baxter	True
Books Down Under	9781558609350	Understanding Your Users: A Practical Guide to User Requirements Methods, Tools, and Techniques	courage; baxter	False
Bobs Books	9781558609350	UNDERSTANDING YOUR USERS	catherine courage, kathy baxter	True
Bobs Books	9781558609350	Understanding Your Users	courage, catherine	False
Revaluation Books	9781558609350	Understanding Your Users A Practical Guide to User Requirements, Methods, Tools and Techniques	catherine courage, kathy baxter	True
Gunter Koppon	9781558609350	Understanding Your Users - A Practical Guide to User Requirements Methods, Too..	courage	False
WorldOfBooks	9781558609350	Understanding Your Users - A Practical Guide to User Requirements Methods, Too..	courage	False
Gunars Store	9781558609350	Understanding Your Users - A Practical Guide to User Requirements Methods, Too..	baxter	False
Limelight Bookshop	9781558609350	Understanding Your Users: A Practical Guide to User Requirements Methods, Tools, and Techniques	courage, catherine	False
Cobain LLC	9781558609342	Bluetooth Application Programming with the Java APIs (The Morgan Kaufmann Series in Networking)	c bala kumar, paul kline, tim thompson	True
Reliable Book Service	9781558609342	Bluetooth Application Programming With the Java Apis	kumar, c. bala; kline, paul j.; thompson, timothy j.	False
Mega Media Depot	9781558609342	Bluetooth Application Programming with the Java APIs (The Morgan Kaufmann Series in Networking)	c bala kumar	False
Caiman	9781558609342	BLUETOOTH APPLICATION PROGRAMM	c bala kumar	False
Movies With A Smile	9781558609342	Bluetooth Application Programming with the Java APIs	kumar, c bala, and kline, paula j, and thompson, timothy j	False
A1Books	9781558609342	Bluetooth Application Programming with the Java APIs	c bala kumar	False
AlphaCraze.com	9781558609342	Bluetooth Application Programming with the Java APIs (The Morgan Kaufmann Series in Networking)	c bala kumar, paul kline, tim thompson	True
textbookxdotcom	9781558609342	Bluetooth Application Programming With the Java Apis	paul j. kline	False
College Book Service	9781558609342	Bluetooth Application Programming With the Java Apis, pb, 2003	kumar, c. bala/ kline, pa	False
Book Lovers USA	9781558609342	Bluetooth Application Programming with the Java APIs (The Morgan Kaufmann Series in Networking)	c bala kumar, paul kline, tim thompson	True
Annex Books Inc	9781558609342	Bluetooth Application Programming with the Java APIs (The Morgan Kaufmann Series in Networking)	c bala kumar, paul kline, tim thompson	True
Players Quest	9781558609342	Bluetooth Application Programming with the Java APIs (The Morgan Kaufmann Series in Networking)	c bala kumar, paul kline, tim thompson	True
Striped Ostrich	9781558609342	Programming Bluetooth Devices With J2Me	c bala kumar	False
Papamedia.com	9781558609342	Bluetooth Application Programming with the Java APIs (The Morgan Kaufmann Series in Networking)	c bala kumar, et al	False
Powell's  Books	9781558609342	Bluetooth Application Programming With the Java Apis (Morgan Kaufmann Series in Networking)	c bala kumar	False
Blackwell Online	9781558609342	Bluetooth Application Programming with the Java APIs	c bala kumar, paul kline, tim thompson	True
HTBOOK	9781558609342	Bluetooth Application Programming with the Java APIs	c bala kumar, paul kline, tim thompson	True
Quartermelon	9781558609342	Bluetooth Application Programming with the Java APIs	c bala kumar, paul kline, tim thompson	False
Quartermelon	9781558609342	Bluetooth Application Programming with the Java APIs	c bala kumar, paul kline, tim thompson	True
LAKESIDE BOOKS	9781558609342	BLUETOOTH APPLICATION PROGRAMMING WITH THE JAVA APIS	kumar, c.balakline, paulthompson, tim	False
TheBookCom	9781558609342	Bluetooth Application Programming With The Java Apis	c bala kumar	False
AshleyJohnson	9781558609342	Bluetooth Application Programming with the Java APIs (The Morgan Kaufmann Series in Networking)	c bala kumar, paul kline, tim thompson	True
paperbackworld.de	9781558609342	Programming Bluetooth Devices with J2ME	c bala kumar, paul kline, tim thompson	True
Stratford Books	9781558609342	Bluetooth Application Programming with the Java APIs	c bala kumar, paul kline, tim thompson	False
The Book Depository	9781558609342	Bluetooth Application Programming with the Java APIs	paul kline	False
Stratford Books	9781558609342	Bluetooth Application Programming with the Java APIs	c bala kumar, paul kline, tim thompson	True
Versandantiquariat Robert A. Mueller	9781558609342	Programming Bluetooth Devices with J2ME	c bala kumar, paul kline, tim thompson	True
FREE POSTAGE ! @thebookcompany	9781558609342	Bluetooth Application Programming With The Java Apis	c bala kumar	False
Revaluation Books	9781558609342	Bluetooth Application Programming With the Java Apis	kumar, c. bala; kline, paul j.; thompson, timothy j.	False
Limelight Bookshop	9781558609342	Bluetooth Application Programming with the Java APIs	c bala kumar	False
A1Books	9781558609199	Database Modeling With Microsoft Visio for Enterprise Architects	terry halpin, ken evans, pat hallock, bill maclean	True
Powell's  Books	9781558609199	Database Modeling With MS Visio for Ente	halpin, terry	False
AHA-BUCH	9781558609199	Database Modeling with Microsoft Visio for Enterprise Architects	terry halpin, ken evans, pat hallock	False
Quartermelon	9781558609199	Database Modeling with Microsoft&reg; Visio for Enterprise Architects	terry halpin, ken evans, pat hallock, bill maclean	True
The Book Depository	9781558609199	Database Modeling with Microsoft Visio for Enterprise	halpin	False
Stratford Books	9781558609199	Database Modeling with Microsoft&reg; Visio for Enterprise Architects	terry halpin, ken evans, pat hallock, bill maclean	True
Papamedia.com	9781558609199	Database Modeling with Microsoft&reg; Visio for Enterprise Architects (The Morgan Kaufmann Series in Data Management Systems)	terry halpin, et al	False
WorldOfBooks	9781558609199	Database Modeling with Microsoft Visio for Enterprise Architects	halpin, terry	False
Gunter Koppon	9781558609199	Database Modeling with Microsoft Visio for Enterprise Architects	halpin, terry	False
Limelight Bookshop	9781558609199	Database Modeling with Microsoft Visio for Enterprise Architects	halpin, terry	False
Gunars Store	9781558609199	Database Modeling with Microsoft Visio for Enterprise Architects	evans,ken	False
macysbook	9781558609016	Data Mining,	jiawei han,	False
